"","pmse","specks","auc","type","name"
"1","0.000309691890964881","0.0256","0.48586256","lr","Control"
"2","0.0895751465438627","0.0252","0.496826","tree","Control"
"3","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"4","0.0044765088","0.014","0.50446208","rf","Control"
"5","0.139194470659987","0.745999999999983","0.937754719999988","lr","All"
"6","0.214502176852889","0.842799999999972","0.95315128","tree","All"
"7","0.138033357646719","0.728799999999985","0.93505055999999","lasso","All"
"8","0.1936422296","0.940399999999962","0.995806160000001","rf","All"
"9","0.219718043949309","0.925199999999963","0.994366399999991","lr","Mean"
"10","0.222154163271784","0.875999999999969","0.97721048","tree","Mean"
"11","0.218717971564785","0.923599999999964","0.993901119999983","lasso","Mean"
"12","0.200351668","0.912399999999965","0.990887280000001","rf","Mean"
"13","0.000332242059042486","0.0168","0.4944224","lr","Correlation"
"14","0.11785113943376","0.554000000000004","0.85367744","tree","Correlation"
"15","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"16","0.1132222672","0.625199999999996","0.90846104","rf","Correlation"
"17","0.00032626074280487","0.0276","0.4941192","lr","Control"
"18","0.000306065548051527","0.0232","0.5106244","tree","Control"
"19","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"20","0.004321476","0.0368","0.4811628","rf","Control"
"21","0.134693568793171","0.727199999999985","0.929307519999996","lr","All"
"22","0.213404657295028","0.858399999999971","0.95675864","tree","All"
"23","0.133686773590187","0.728399999999985","0.931793599999998","lasso","All"
"24","0.1889561512","0.945999999999961","0.995832000000001","rf","All"
"25","0.220046659206027","0.925599999999963","0.993823999999979","lr","Mean"
"26","0.221392152122781","0.881199999999968","0.9726564","tree","Mean"
"27","0.217051795900619","0.913999999999965","0.993354079999992","lasso","Mean"
"28","0.198622956","0.911599999999965","0.9901396","rf","Mean"
"29","0.000286265923037281","0.018","0.491724479999999","lr","Correlation"
"30","0.110330849480549","0.547200000000005","0.85584624","tree","Correlation"
"31","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"32","0.1131879384","0.627999999999996","0.91061416","rf","Correlation"
"33","0.000318312135597734","0.034","0.51224288","lr","Control"
"34","0.000265070530157271","0.0156","0.5078","tree","Control"
"35","0.000112364300027405","0.0168","0.498674080000002","lasso","Control"
"36","0.0044260896","0.0164","0.50270976","rf","Control"
"37","0.13746796096223","0.734399999999984","0.937840639999999","lr","All"
"38","0.216766193956248","0.86439999999997","0.95987808","tree","All"
"39","0.120090919667235","0.743999999999983","0.935807839999997","lasso","All"
"40","0.1931088832","0.937199999999962","0.994636720000001","rf","All"
"41","0.218978113569005","0.923599999999964","0.992942399999995","lr","Mean"
"42","0.221966138372003","0.879599999999968","0.97406848","tree","Mean"
"43","0.217424669938165","0.925199999999963","0.993750239999989","lasso","Mean"
"44","0.199665308","0.918399999999964","0.992084","rf","Mean"
"45","0.000243423726771844","0.02","0.502150560000001","lr","Correlation"
"46","0.164635454133513","0.554800000000004","0.86437408","tree","Correlation"
"47","0.000233593000640246","0.0204","0.495115999999999","lasso","Correlation"
"48","0.111008476","0.620399999999997","0.909048959999998","rf","Correlation"
"49","0.000391414225731611","0.0228","0.506313119999999","lr","Control"
"50","0.000231901669048195","0.01","0.505","tree","Control"
"51","4.66683728949124e-05","0.0216","0.51006912","lasso","Control"
"52","0.0041914152","0.0356","0.49130536","rf","Control"
"53","0.13741378899346","0.733999999999984","0.935107199999992","lr","All"
"54","0.219278106377996","0.86959999999997","0.95786464","tree","All"
"55","0.137527403105293","0.727199999999985","0.933878399999999","lasso","All"
"56","0.1916164152","0.947199999999961","0.99431512","rf","All"
"57","0.218681815267493","0.926799999999963","0.992989279999993","lr","Mean"
"58","0.221397153390255","0.872399999999969","0.97304968","tree","Mean"
"59","0.218089898013586","0.914799999999965","0.992313119999978","lasso","Mean"
"60","0.1957631408","0.913599999999965","0.99176448","rf","Mean"
"61","0.000322562029237869","0.0296","0.49929296","lr","Correlation"
"62","0.111111772988614","0.548400000000005","0.85493992","tree","Correlation"
"63","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"64","0.1128954544","0.604399999999999","0.905825039999999","rf","Correlation"
"65","0.000255958382136891","0.0192","0.504193280000001","lr","Control"
"66","0","1.48535697630514e-17","0.5","tree","Control"
"67","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"68","0.0045378848","0.0216","0.49282776","rf","Control"
"69","0.139061157118347","0.717199999999986","0.925635199999996","lr","All"
"70","0.21741965559338","0.86079999999997","0.96202928","tree","All"
"71","0.119344732306387","0.726799999999985","0.931197279999991","lasso","All"
"72","0.191231032","0.939599999999962","0.99506856","rf","All"
"73","0.220010197067124","0.913999999999965","0.992913759999992","lr","Mean"
"74","0.221874071919187","0.877999999999969","0.97182544","tree","Mean"
"75","0.21881421301408","0.928399999999963","0.993262239999991","lasso","Mean"
"76","0.1985458992","0.925999999999963","0.99261912","rf","Mean"
"77","0.000196513799395404","0.0296","0.50579184","lr","Correlation"
"78","0.16340754580482","0.532400000000007","0.85312112","tree","Correlation"
"79","0.000180856509171115","0.0352","0.50465248","lasso","Correlation"
"80","0.113983612","0.614399999999998","0.9051108","rf","Correlation"
"81","0.000363115747024748","0.0156","0.501391839999999","lr","Control"
"82","0.000165113900025658","0.0112","0.5056","tree","Control"
"83","0.000164235156232814","0.0208","0.506808799999998","lasso","Control"
"84","0.004372136","0.0192","0.49832808","rf","Control"
"85","0.139215544122243","0.720799999999986","0.931178720000005","lr","All"
