"","pmse","specks","auc","type","name"
"1","0.00033931628382915","0.0156","0.49954128","lr","Control"
"2","0.101339631433868","0.0252","0.49859096","tree","Control"
"3","3.36991187279308e-05","0.0276","0.508318559999998","lasso","Control"
"4","0.0041958904","0.0392","0.52009152","rf","Control"
"5","0.00377635140976257","0.0679999999999998","0.533290560000001","lr","All"
"6","0.0125767122277651","0.0675999999999998","0.53698056","tree","All"
"7","0.00216660547064809","0.0795999999999997","0.541075040000001","lasso","All"
"8","0.00992362240000002","0.1004","0.5398012","rf","All"
"9","0.0058399887811898","0.0943999999999997","0.55092304","lr","Mean"
"10","0.0153398205688109","0.0907999999999997","0.54568064","tree","Mean"
"11","0.00514036866899125","0.1116","0.560017599999999","lasso","Mean"
"12","0.0113686424","0.112","0.56562568","rf","Mean"
"13","0.000344064091065573","0.012","0.49869152","lr","Correlation"
"14","0.0137408628225458","0.0472","0.5247172","tree","Correlation"
"15","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"16","0.00781783439999998","0.0527999999999999","0.53209192","rf","Correlation"
"17","0.000363399265776131","0.0256","0.511129920000001","lr","Control"
"18","0.000229303339772455","0.00400000000000002","0.502","tree","Control"
"19","1.48022363283511e-05","0.0216","0.502601600000001","lasso","Control"
"20","0.0045366552","0.0324","0.4889452","rf","Control"
"21","0.00367160360006134","0.0603999999999999","0.535299679999998","lr","All"
"22","0.0108768783738983","0.0763999999999998","0.53577712","tree","All"
"23","0.00194996282764436","0.0843999999999997","0.549486559999999","lasso","All"
"24","0.0110835456","0.1028","0.5535224","rf","All"
"25","0.00604187748556385","0.0883999999999997","0.561127839999998","lr","Mean"
"26","0.00456786511081523","0.0727999999999998","0.538568","tree","Mean"
"27","0.00664820933804816","0.0851999999999997","0.55195808","lasso","Mean"
"28","0.0110728112","0.0867999999999997","0.53982","rf","Mean"
"29","0.000379758119914097","0.0308","0.508572480000002","lr","Correlation"
"30","0.0865028832632715","0.0248","0.51034696","tree","Correlation"
"31","5.05612319392098e-06","0.0156","0.498280640000001","lasso","Correlation"
"32","0.00749536079999999","0.0559999999999999","0.52939112","rf","Correlation"
"33","0.000333315394030514","0.0416","0.513304160000002","lr","Control"
"34","0","1.48535697630514e-17","0.5","tree","Control"
"35","0.000338446742216796","0.0212","0.495234880000001","lasso","Control"
"36","0.0043083496","0.0248","0.49331248","rf","Control"
"37","0.0039843240108351","0.0831999999999997","0.554381760000002","lr","All"
"38","0.0135071745745118","0.0931999999999997","0.55221336","tree","All"
"39","0.00438106144984763","0.0739999999999998","0.540007840000001","lasso","All"
"40","0.0104957256","0.0819999999999997","0.53685512","rf","All"
"41","0.00695782292238988","0.0939999999999997","0.553656799999999","lr","Mean"
"42","0.0961248797747009","0.0671999999999998","0.53203384","tree","Mean"
"43","0.00578442721006031","0.0827999999999997","0.55088528","lasso","Mean"
"44","0.0115252632","0.0843999999999997","0.543289279999999","rf","Mean"
"45","0.000352935422574524","0.0184","0.50486224","lr","Correlation"
"46","0.015698512510752","0.0643999999999998","0.52567648","tree","Correlation"
"47","3.52308923516232e-05","0.0328","0.49135728","lasso","Correlation"
"48","0.00735734880000001","0.0551999999999999","0.52488016","rf","Correlation"
"49","0.000409986877330854","0.0384","0.511894559999999","lr","Control"
"50","0.0925841991206449","0.0216","0.5066272","tree","Control"
"51","3.90529448454803e-06","0.0356","0.512299360000002","lasso","Control"
"52","0.0040917232","0.0144","0.49714104","rf","Control"
"53","0.00379042375340042","0.0847999999999997","0.54537888","lr","All"
"54","0.0133723198002008","0.0803999999999997","0.54285248","tree","All"
"55","0.00365582277330556","0.0939999999999997","0.549170560000002","lasso","All"
"56","0.00969313200000001","0.1056","0.56036792","rf","All"
"57","0.00657342825945494","0.0859999999999997","0.54099216","lr","Mean"
"58","0.0156989711339788","0.0903999999999997","0.5453972","tree","Mean"
"59","0.00365483520219278","0.1016","0.55299536","lasso","Mean"
"60","0.0116458824","0.0915999999999997","0.533634640000001","rf","Mean"
"61","0.000171059783431641","0.0172","0.50011008","lr","Correlation"
"62","0.0100882981434144","0.0444","0.52448728","tree","Correlation"
"63","0.000228382836715492","0.0324","0.48666992","lasso","Correlation"
"64","0.00671651920000001","0.0591999999999999","0.52473992","rf","Correlation"
"65","0.000333061496228724","0.0264","0.496505759999999","lr","Control"
"66","0","1.48535697630514e-17","0.5","tree","Control"
"67","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
