"","pmse_train","specks_train","auc_train","pmse_test","specks_test","auc_test","type","name"
"1","0.000324959016698389","0.0285333333333332","0.518804640000003","0.000297494235846859","0.044","0.5111208","lr","Control"
"2","0.050534487462785","0.318533333333337","0.744815671111111","0.050433967792501","0.0184","0.50377016","tree","Control"
"3","1.91560189702589e-05","0.0187999999999999","0.50942368","2.12078261675918e-05","0.0152","0.49782416","lasso","Control"
"4","0.100624536533333","0.999999999999929","1","0.0040816896","0.0208","0.49863856","rf","Control"
"5","0.138157806610618","0.723333333333293","0.933055573333295","0.137977986904626","0.740799999999984","0.93058768","lr","All"
"6","0.216518986973287","0.921333333333271","0.983828293333334","0.216339504254849","0.849199999999972","0.95722304","tree","All"
"7","0.134809155161414","0.725466666666626","0.932176906666639","0.135038370528504","0.734399999999984","0.9331112","lasso","All"
"8","0.221828392266667","0.999999999999929","1","0.191661824","0.941199999999962","0.995769600000001","rf","All"
"9","0.218452783763563","0.918799999999938","0.992515217777736","0.218956597154155","0.917199999999964","0.992486079999982","lr","Mean"
"10","0.220802997790173","0.928799999999937","0.990092577777778","0.220077696475628","0.86639999999997","0.9739076","tree","Mean"
"11","0.216736309226489","0.918799999999938","0.992631324444415","0.216181731063244","0.920399999999964","0.992090239999995","lasso","Mean"
"12","0.222740415733333","0.999999999999929","1","0.1982890736","0.914799999999965","0.99002544","rf","Mean"
"13","0.000453531959488829","0.0598666666666664","0.529643840000003","0.000467997308231871","0.0296","0.494599040000001","lr","Correlation"
"14","0.120256706977629","0.620266666666637","0.895094737777778","0.120293960925777","0.531600000000007","0.8584748","tree","Correlation"
"15","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"16","0.171556398666667","0.999999999999929","1","0.1109440808","0.601599999999999","0.901315679999999","rf","Correlation"
"17","0.000475671783939846","0.0481333333333331","0.526313280000005","0.000476785914935538","0.0296","0.51373456","lr","Control"
"18","0.00966837171129994","0.157733333333336","0.606674817777778","0.0100652538852751","0.0144","0.50372048","tree","Control"
"19","3.28055058570972e-05","0.0287999999999999","0.513469973333334","3.22493435030575e-05","0.036","0.513041919999999","lasso","Control"
"20","0.100702713066667","0.999999999999929","1","0.0043444512","0.0268","0.50081944","rf","Control"
"21","0.13995970894473","0.739466666666624","0.936059288888863","0.141036944448908","0.745599999999983","0.937142719999989","lr","All"
"22","0.2164535102653","0.922666666666604","0.981443404444445","0.215207488061563","0.834399999999973","0.95295224","tree","All"
"23","0.138865249320876","0.742399999999957","0.937129386666636","0.138852946468628","0.738799999999984","0.934004800000006","lasso","All"
"24","0.222162572266667","0.999999999999929","1","0.1929251992","0.950399999999961","0.996058959999999","rf","All"
"25","0.217687855191595","0.916399999999938","0.99223923555551","0.219757935193518","0.927599999999963","0.994667839999999","lr","Mean"
"26","0.221730305138554","0.93213333333327","0.988972915555556","0.220424161494013","0.887999999999967","0.97415304","tree","Mean"
"27","0.217769870057317","0.922266666666604","0.993146275555529","0.218456604076104","0.914399999999965","0.992121439999988","lasso","Mean"
"28","0.223151345866667","0.999999999999929","1","0.1981238232","0.907999999999965","0.990239200000001","rf","Mean"
"29","0.000358451738553781","0.0447999999999998","0.524477955555554","0.000352944443210633","0.0372","0.51206048","lr","Correlation"
"30","0.164157938985677","0.778799999999953","0.948300506666667","0.165260026973258","0.554800000000004","0.86264456","tree","Correlation"
"31","0.000305195254667866","0.0510666666666664","0.530403324444444","0.000316652985603142","0.0272","0.502372639999999","lasso","Correlation"
"32","0.169604464533333","0.999999999999929","1","0.1123619376","0.629599999999996","0.91244688","rf","Correlation"
"33","0.000374446898064442","0.0257333333333332","0.517796284444449","0.000382249376861372","0.0188","0.49703536","lr","Control"
"34","0.00791227508914984","0.133733333333333","0.596129564444444","0.00755248510304419","0.0152","0.49591344","tree","Control"
"35","5.61460384242114e-06","0.0166666666666666","0.509384853333334","5.78947973234679e-06","0.0196","0.504119199999999","lasso","Control"
"36","0.1007677408","0.999999999999929","1","0.0046584072","0.0292","0.50984792","rf","Control"
"37","0.137039473465135","0.729066666666625","0.932561759999979","0.135605328186562","0.737199999999984","0.934907199999995","lr","All"
"38","0.218113417642919","0.92573333333327","0.984339031111111","0.217579358499601","0.853199999999971","0.96309584","tree","All"
"39","0.13596345873977","0.733199999999958","0.933267839999971","0.135275911439581","0.725999999999985","0.933225279999996","lasso","All"
"40","0.221797707733333","0.999999999999929","1","0.191941304","0.948799999999961","0.994647840000001","rf","All"
"41","0.219200740469427","0.921333333333271","0.992964568888802","0.221049683224006","0.922799999999964","0.992876959999979","lr","Mean"
"42","0.222843120505308","0.934799999999936","0.990676826666667","0.222347690417353","0.86239999999997","0.96938544","tree","Mean"
"43","0.21697592057987","0.920799999999938","0.992745333333283","0.217504334766471","0.923199999999964","0.993489439999991","lasso","Mean"
"44","0.223885174666667","0.999999999999929","1","0.1975629648","0.900799999999966","0.98889824","rf","Mean"
"45","0.000292356597815883","0.0699999999999996","0.532185848888894","0.000300946621738196","0.0452","0.506967520000001","lr","Correlation"
"46","0.112259636890778","0.611866666666638","0.881028053333333","0.11067885026776","0.567600000000003","0.86124056","tree","Correlation"
"47","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"48","0.170670901333333","0.999999999999929","1","0.1128074256","0.604399999999999","0.903740399999999","rf","Correlation"
"49","0.000292253747556076","0.0330666666666665","0.519245617777778","0.000310030929401967","0.0412","0.52327664","lr","Control"
