"","pov0","pov1","lab"
"1",0.580183274395402,0.599779919328792,"perm_auc_good"
"2",0.575307802708931,0.60230002649367,"perm_auc_good"
"3",0.577494627076906,0.558229666046474,"perm_auc_good"
"4",0.57661893311034,0.565860374977465,"perm_auc_good"
"5",0.564516757525333,0.560259869355297,"perm_auc_good"
"6",0.581955303031961,0.589027544592248,"perm_auc_good"
"7",0.576886983890127,0.569511254874158,"perm_auc_good"
"8",0.583815900667097,0.563520368798704,"perm_auc_good"
"9",0.576826550234878,0.58861570547336,"perm_auc_good"
"10",0.576185513906619,0.580094378785483,"perm_auc_good"
"11",0.583539310457468,0.601885219498446,"perm_auc_good"
"12",0.581606022905495,0.583257162610284,"perm_auc_good"
"13",0.572565059331788,0.582098148806027,"perm_auc_good"
"14",0.580071637538287,0.587455447558571,"perm_auc_good"
"15",0.572948626938113,0.538138762718467,"perm_auc_good"
"16",0.579825746572622,0.57912006529795,"perm_auc_good"
"17",0.583857260934731,0.597786929516608,"perm_auc_good"
"18",0.57113329562712,0.551550685176093,"perm_auc_good"
"19",0.569232674898681,0.558525802879291,"perm_auc_good"
"20",0.564783976418511,0.55583104487208,"perm_auc_good"
"21",0.57033988169571,0.573960510322755,"perm_auc_good"
"22",0.585664198581483,0.549061585960351,"perm_auc_good"
"23",0.5744010798899,0.587316761459815,"perm_auc_good"
"24",0.580225863578895,0.587558161474409,"perm_auc_good"
"25",0.589209186867563,0.603445696076493,"perm_auc_good"
"26",0.582028885429834,0.56998279706564,"perm_auc_good"
"27",0.56727536698722,0.581990684836985,"perm_auc_good"
"28",0.575330066966354,0.592801122972166,"perm_auc_good"
"29",0.570136521761793,0.576765793864463,"perm_auc_good"
"30",0.566940665305819,0.544819777786072,"perm_auc_good"
"31",0.57398902880298,0.550325794993428,"perm_auc_med"
"32",0.570686782706707,0.593534088413965,"perm_auc_med"
"33",0.578580430758361,0.569358445132439,"perm_auc_med"
"34",0.565821563990156,0.574496178724832,"perm_auc_med"
