"","pmse_train","specks_train","auc_train","pmse_test","specks_test","auc_test","type","name"
"1","0.000995064365231322","0.0510666666666664","0.533037102222226","0.000980330552176672","0.0284","0.511016640000001","lr","Control"
"2","0.050534487462785","0.318533333333337","0.744815671111111","0.050433967792501","0.0184","0.50377016","tree","Control"
"3","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Control"
"4","0.100624536533333","0.999999999999929","1","0.0040816896","0.0208","0.49863856","rf","Control"
"5","0.0252652132836757","0.402533333333328","0.696100888888885","0.0252656542351848","0.386000000000007","0.681316319999999","lr","All"
"6","0.216518986973287","0.921333333333271","0.983828293333334","0.216339504254849","0.849199999999972","0.95722304","tree","All"
"7","0.0142806064779217","0.374533333333331","0.63990590222222","0.0143018441702506","0.378800000000007","0.636542240000002","lasso","All"
"8","0.221828392266667","0.999999999999929","1","0.191661824","0.941199999999962","0.995769600000001","rf","All"
"9","0.218627464807819","0.919066666666605","0.992628764444395","0.219211250377359","0.916799999999964","0.992576479999986","lr","Mean"
"10","0.220802997790173","0.928799999999937","0.990092577777778","0.220077696475628","0.86639999999997","0.9739076","tree","Mean"
"11","0.21738623499223","0.918799999999938","0.992446791111083","0.217370361181118","0.921199999999964","0.992684639999993","lasso","Mean"
"12","0.2226045816","0.999999999999929","1","0.1966637832","0.913999999999965","0.99068096","rf","Mean"
"13","0.129410321137697","0.613333333333305","0.910787839999988","0.129455730403313","0.625599999999996","0.911287519999998","lr","Correlation"
"14","0.164228569604673","0.77506666666662","0.948755662222222","0.16348414759788","0.536800000000006","0.85922304","tree","Correlation"
"15","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"16","0.170756356266667","0.999999999999929","1","0.1144606832","0.607999999999998","0.906708799999999","rf","Correlation"
"17","0.00127951923817663","0.0595999999999997","0.537782257777781","0.00133802122763048","0.0244","0.49488432","lr","Control"
"18","0.00725149041136185","0.123333333333333","0.588117546666667","0.00760619042261506","0.0256","0.4899432","tree","Control"
"19","2.39629645062753e-06","0.0129333333333333","0.506268319999996","2.41276728939195e-06","0.016","0.496923519999999","lasso","Control"
"20","0.1005378592","0.999999999999929","1","0.004035484","0.0212","0.49550672","rf","Control"
"21","0.0271499595966347","0.436133333333324","0.705534346666663","0.025245899795377","0.397200000000007","0.67845552","lr","All"
"22","0.217816920066968","0.925866666666604","0.983385057777777","0.217213445243432","0.850799999999972","0.95128432","tree","All"
"23","0.0149465480324888","0.383999999999997","0.645288337777778","0.0154036250999342","0.400000000000007","0.638816","lasso","All"
"24","0.221860335733333","0.999999999999929","1","0.1914829488","0.938799999999962","0.994750559999998","rf","All"
"25","0.219889325409578","0.921066666666604","0.993187893333276","0.218462931810014","0.917199999999964","0.993015519999971","lr","Mean"
"26","0.221074439673555","0.932266666666603","0.987763502222223","0.221060450969142","0.881999999999968","0.97511832","tree","Mean"
"27","0.218985412928265","0.921333333333271","0.993244266666636","0.218460007157983","0.921999999999964","0.992628319999979","lasso","Mean"
"28","0.2232980176","0.999999999999929","1","0.1985565024","0.917599999999964","0.99168288","rf","Mean"
"29","0.128853157034079","0.619999999999971","0.911407448888872","0.128601052614721","0.601999999999999","0.904428319999998","lr","Correlation"
"30","0.163739241557708","0.77506666666662","0.948970479999999","0.165197253707214","0.549600000000005","0.86162832","tree","Correlation"
"31","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"32","0.168693138666667","0.999999999999929","1","0.1147412072","0.620399999999997","0.91065672","rf","Correlation"
"33","0.000812368732991336","0.0486666666666664","0.530245226666667","0.000788589544930627","0.0248","0.50379936","lr","Control"
"34","0.00616653237693388","0.116933333333333","0.580246942222222","0.00676650172475734","0.014","0.4949756","tree","Control"
"35","7.8563531634113e-05","0.0253333333333332","0.513804640000002","8.02621230775144e-05","0.0204","0.50561088","lasso","Control"
"36","0.100785957066667","0.999999999999929","1","0.0044517472","0.0388","0.48539544","rf","Control"
"37","0.0268910445143728","0.423333333333326","0.706566986666666","0.026798640470287","0.408000000000008","0.694551199999998","lr","All"
"38","0.218490326886952","0.925466666666604","0.985033048888888","0.217730614015073","0.851999999999971","0.95479832","tree","All"
"39","0.0156871033962063","0.38933333333333","0.646885262222218","0.0151474889242517","0.385200000000007","0.636882719999999","lasso","All"
"40","0.2223702704","0.999999999999929","1","0.1914887032","0.942399999999961","0.99513872","rf","All"
"41","0.220305351473286","0.922133333333271","0.993532533333288","0.220543313721074","0.925199999999963","0.994097440000001","lr","Mean"
"42","0.223039396424628","0.933999999999936","0.990436711111111","0.223228524109627","0.881199999999968","0.97399456","tree","Mean"
"43","0.219877322794467","0.921733333333271","0.993709973333305","0.218880363680583","0.922799999999964","0.993043999999989","lasso","Mean"
"44","0.2238871376","0.999999999999929","1","0.1982886888","0.911199999999965","0.9905","rf","Mean"
"45","0.125361465133669","0.609199999999972","0.905465866666656","0.124989913322311","0.600799999999999","0.899525759999997","lr","Correlation"
"46","0.15983522343851","0.766399999999955","0.943487706666668","0.161445870054568","0.526400000000007","0.85050184","tree","Correlation"
"47","2.48540488951195e-28","4.55364912443912e-18","0.5","2.48540488951195e-28","1.48535697630514e-17","0.5","lasso","Correlation"
"48","0.168533552533333","0.999999999999929","1","0.1091837848","0.600799999999999","0.89670856","rf","Correlation"
"49","0.00114706280354093","0.0571999999999997","0.537231271111106","0.00111778859396685","0.0132","0.500646880000002","lr","Control"
