"","aucs","speckss","synth_type","pov_class"
"1",0.631868934240363,0.185714285714286,"good","pov"
"2",0.570957348978418,0.0920099726938131,"good","nopov"
"3",0.658181405895692,0.256190476190477,"pov_med","pov"
"4",0.572064888108124,0.0947405912382746,"pov_med","nopov"
"5",0.686114739229025,0.299047619047618,"pov_bad","pov"
"6",0.569597522677832,0.0921286952392245,"pov_bad","nopov"
"7",0.6176231292517,0.180952380952381,"nopov_med","pov"
"8",0.633759877048378,0.210613795559772,"nopov_med","nopov"
"9",0.614179591836735,0.162857142857143,"nopov_bad","pov"
"10",0.73426510117161,0.373976018045847,"nopov_bad","nopov"
"11",0.623174603174603,0.172380952380953,"good","pov"
"12",0.577843658320997,0.108512406505994,"good","nopov"
"13",0.647283446712018,0.235238095238096,"pov_med","pov"
"14",0.578711941146882,0.105663065416121,"pov_med","nopov"
"15",0.696006349206349,0.309523809523808,"pov_bad","pov"
"16",0.580318324983454,0.106612845779412,"pov_bad","nopov"
"17",0.59222947845805,0.153333333333334,"nopov_med","pov"
"18",0.632109143159671,0.196129645019585,"nopov_med","nopov"
"19",0.617113378684807,0.160952380952381,"nopov_bad","pov"
"20",0.740394492621379,0.364953104594581,"nopov_bad","nopov"
"21",0.62376462585034,0.199047619047619,"good","pov"
"22",0.565540800222657,0.0877359610590037,"good","nopov"
"23",0.653512471655329,0.22952380952381,"pov_med","pov"
"24",0.565413430368494,0.0890419090585288,"pov_med","nopov"
"25",0.687679818594105,0.29047619047619,"pov_bad","pov"
"26",0.577798448471251,0.108393683960582,"pov_bad","nopov"
"27",0.611800453514739,0.165714285714286,"nopov_med","pov"
"28",0.628092070059861,0.190430962839839,"nopov_med","nopov"
"29",0.633245351473923,0.205714285714286,"nopov_bad","pov"
"30",0.725257945978183,0.353674462780498,"nopov_bad","nopov"
"31",0.627989569160998,0.187619047619048,"good","pov"
"32",0.574654062898198,0.0947405912382746,"good","nopov"
"33",0.687773242630385,0.26,"pov_med","pov"
"34",0.578096156917518,0.102932446871659,"pov_med","nopov"
"35",0.694503854875283,0.309523809523808,"pov_bad","pov"
"36",0.5783716022437,0.105188175234475,"pov_bad","nopov"
"37",0.583404535147393,0.147619047619048,"nopov_med","pov"
"38",0.622338255120246,0.185800783568796,"nopov_med","nopov"
"39",0.626581859410431,0.203809523809524,"nopov_bad","pov"
"40",0.747348437026781,0.383948711860404,"nopov_bad","nopov"
"41",0.618094784580499,0.178095238095238,"good","pov"
"42",0.576881608222958,0.0959278166923883,"good","nopov"
"43",0.671426757369615,0.284761904761904,"pov_med","pov"
"44",0.574134526668519,0.103288614507893,"pov_med","nopov"
"45",0.70245306122449,0.310476190476189,"pov_bad","pov"
"46",0.572583987391477,0.0968775970556793,"pov_bad","nopov"
"47",0.608519727891156,0.164761904761905,"nopov_med","pov"
"48",0.621147083054152,0.194111361747592,"nopov_med","nopov"
"49",0.584178684807256,0.138095238095238,"nopov_bad","pov"
"50",0.738739537267357,0.379793422771006,"nopov_bad","nopov"
"51",0.648181405895692,0.218095238095239,"good","pov"
"52",0.590204545710499,0.121453163955833,"good","nopov"
"53",0.638772335600907,0.204761904761905,"pov_med","pov"
"54",0.569543306095744,0.0949780363290973,"pov_med","nopov"
"55",0.696650340136054,0.302857142857142,"pov_bad","pov"
"56",0.571315743631412,0.0937908108749836,"pov_bad","nopov"
"57",0.620521541950113,0.172380952380953,"nopov_med","pov"
"58",0.636448104751652,0.206458506470374,"nopov_med","nopov"
"59",0.618475736961451,0.162857142857143,"nopov_bad","pov"
"60",0.736176861157725,0.367921168229866,"nopov_bad","nopov"
"61",0.625287981859411,0.194285714285715,"good","pov"
"62",0.57554587739802,0.101982666508368,"good","nopov"
"63",0.648967800453515,0.227619047619048,"pov_med","pov"
"64",0.574839743944379,0.102220111599191,"pov_med","nopov"
"65",0.709404535147393,0.338095238095236,"pov_bad","pov"
"66",0.571399996749683,0.0946218686928632,"pov_bad","nopov"
"67",0.630460770975057,0.2,"nopov_med","pov"
"68",0.627786242868948,0.189362459931137,"nopov_med","nopov"
"69",0.581084353741496,0.118095238095238,"nopov_bad","pov"
"70",0.737188603329116,0.372313902410087,"nopov_bad","nopov"
"71",0.645400453514739,0.218095238095239,"good","pov"
"72",0.570990444138886,0.0931971981479268,"good","nopov"
"73",0.666751020408163,0.243809523809524,"pov_med","pov"
"74",0.581179877426407,0.109818354505519,"pov_med","nopov"
"75",0.696328344671202,0.31142857142857,"pov_bad","pov"
"76",0.574087879124409,0.102338834144602,"pov_bad","nopov"
"77",0.621397278911565,0.186666666666667,"nopov_med","pov"
"78",0.637044987528636,0.205864893743317,"nopov_med","nopov"
"79",0.61288253968254,0.178095238095238,"nopov_bad","pov"
"80",0.738930454621933,0.375756856227018,"nopov_bad","nopov"
"81",0.614095238095238,0.179047619047619,"good","pov"
"82",0.565024710230939,0.0896355217855857,"good","nopov"
"83",0.644808163265306,0.214285714285715,"pov_med","pov"
"84",0.575476325409377,0.0988958803276726,"pov_med","nopov"
"85",0.704992290249433,0.339047619047617,"pov_bad","pov"
"86",0.56949340259675,0.0910601923305221,"pov_bad","nopov"
"87",0.625103854875284,0.179047619047619,"nopov_med","pov"
"88",0.617068005861113,0.168586014484147,"nopov_med","nopov"
"89",0.619701133786848,0.185714285714286,"nopov_bad","pov"
"90",0.737981639769072,0.369820728956448,"nopov_bad","nopov"
"91",0.622704761904762,0.199047619047619,"good","pov"
"92",0.582081065129683,0.111717915232101,"good","nopov"
"93",0.648178684807256,0.234285714285715,"pov_med","pov"
"94",0.577217739755867,0.100557995963432,"pov_med","nopov"
"95",0.702076190476191,0.304761904761904,"pov_bad","pov"
"96",0.57642131345812,0.104475839962007,"pov_bad","nopov"
"97",0.591595011337868,0.131428571428572,"nopov_med","pov"
"98",0.619112527055259,0.178796153389525,"nopov_med","nopov"
"99",0.621863492063492,0.186666666666667,"nopov_bad","pov"
"100",0.738063842058618,0.376587914044898,"nopov_bad","nopov"
