"","pmse_train","specks_train","auc_train","pmse_ratio_train","pmse_test","specks_test","auc_test","pmse_ratio_test","type","name"
"1","0.000995064365231322","0.0510666666666664","0.533037102222226","1.09940329518396","0.000980330552176672","0.0284","0.511016640000001","1.07775877893412","lr","Control"
"2","0.00640929444326501","0.0873333333333329","0.571890533333334","0.746857855020988","0.00648028720769701","0.0248","0.48507304","0.745493968441392","tree","Control"
"3","1.17546062379315e-05","0.0226666666666666","0.51015792","1.94943611870733","1.18131953517997e-05","0.0356","0.49306544","1.91090041767601","lasso","Control"
"4","0.100476282133333","0.999999999999929","1","1.07355799617328","0.0042003992","0.028","0.49241304","0.0558043694121508","rf","Control"
"5","0.0246777385875811","0.398266666666662","0.694255537777776","28.0814997885433","0.0249993764072919","0.419200000000008","0.69991824","28.2078009924802","lr","All"
"6","0.216174397628535","0.921599999999938","0.982641982222222","3.57076905879207","0.215200077268839","0.853999999999971","0.95670728","3.41153685663205","tree","All"
"7","0.0238181514634669","0.396133333333329","0.689975075555549","34.1977279198064","0.0243192341317125","0.400800000000007","0.691959040000003","34.9403691747605","lasso","All"
"8","0.2218290792","0.999999999999929","1","2.3655125773113","0.1918608344","0.937999999999962","0.995495600000001","2.55623110754909","rf","All"
"9","0.219259854851365","0.920933333333271","0.992884711111059","260.812012420543","0.21872996426961","0.908399999999965","0.991781919999985","258.442720036639","lr","Mean"
"10","0.2218087302023","0.931066666666603","0.990409386666667","3.53000760813729","0.221025959563706","0.871999999999969","0.97003888","3.37902433871932","tree","Mean"
"11","0.216225965700132","0.916666666666605","0.992321688888865","399.088590534316","0.214533599382742","0.926799999999963","0.993151039999981","392.038107622553","lasso","Mean"
"12","0.2222403824","0.999999999999929","1","2.37157911675159","0.1976307784","0.914799999999965","0.99017264","2.63406739760646","rf","Mean"
"13","0.129296355216277","0.616133333333305","0.910832533333312","137.931478539756","0.130232947695028","0.619999999999997","0.910903999999999","138.450897072667","lr","Correlation"
"14","0.118466951741377","0.635199999999969","0.887911555555556","12.5743336253848","0.117985694748244","0.556800000000004","0.85694504","12.4121208188506","tree","Correlation"
"15","0.114212430131253","0.613466666666638","0.910077599999989","12101.2545238183","0.115280928685148","0.624799999999996","0.911018879999998","12052.6743994788","lasso","Correlation"
"16","0.171255991466667","0.999999999999929","1","1.82254506979337","0.1146653472","0.601999999999999","0.90232256","1.51611187377329","rf","Correlation"
"17","0.000851644362037394","0.0539999999999997","0.533335128888889","0.95174745683982","0.000802247770083838","0.0216","0.49568928","0.891412525950165","lr","Control"
"18","0.00831053029855481","0.133733333333333","0.596603644444445","0.904637696015524","0.0083447971446004","0.0264","0.49313472","0.888511185232158","tree","Control"
"19","2.48540488951195e-28","4.55364912443912e-18","0.5","1","2.48540488951195e-28","1.48535697630514e-17","0.5","1","lasso","Control"
"20","0.1007986768","0.999999999999929","1","1.07650537333461","0.0043727352","0.0208","0.49535008","0.0577885677796147","rf","Control"
"21","0.020005146185187","0.368799999999998","0.669285742222223","22.5590959121047","0.0205400394822165","0.392000000000007","0.67895936","22.9959792424356","lr","All"
"22","0.218006671758832","0.925466666666604","0.983467831111112","3.561237021601","0.216715073131535","0.839599999999973","0.95071856","3.38685442327059","tree","All"
"23","0.0203371651740365","0.371599999999998","0.669847520000002","29.8905638639695","0.0202015500237455","0.352800000000006","0.660214719999999","29.3736593571802","lasso","All"
"24","0.2220265072","0.999999999999929","1","2.36025643634577","0.1909752064","0.937999999999962","0.994685919999999","2.5334371249367","rf","All"
"25","0.218579839295003","0.917066666666605","0.992705991111067","233.425641447524","0.218782158919294","0.927599999999963","0.993643039999987","233.457973460824","lr","Mean"
"26","0.221810004036393","0.93173333333327","0.990499848888889","3.65634960186574","0.220857784388629","0.86959999999997","0.96988096","3.4896096339908","tree","Mean"
"27","0.216791195116854","0.917866666666605","0.992795217777756","461.914824381068","0.218601270160703","0.924799999999963","0.993226879999976","459.475236749701","lasso","Mean"
"28","0.2226906216","0.999999999999929","1","2.37627722070967","0.1995060088","0.926399999999963","0.99103208","2.63527631868818","rf","Mean"
"29","0.126012476230467","0.611333333333305","0.90754556444443","135.249988959664","0.128961408380825","0.606399999999998","0.90418256","137.937124231386","lr","Correlation"
"30","0.160177922268663","0.768133333333288","0.943088737777777","2.7587077805054","0.161032167710295","0.540400000000006","0.853476","2.67834319866483","tree","Correlation"
"31","0.109524854960879","0.602933333333306","0.903891199999984","7823.9058406874","0.111577823121427","0.622799999999997","0.911581119999997","8013.7019107209","lasso","Correlation"
"32","0.1691479568","0.999999999999929","1","1.80654731643938","0.1109354024","0.602799999999999","0.89997736","1.47385373053526","rf","Correlation"
"33","0.00079963541574288","0.0471999999999998","0.530327946666664","0.889131631240649","0.000803617775053369","0.0248","0.498323840000001","0.884200276455748","lr","Control"
"34","0.0122909117517433","0.185333333333339","0.619940817777778","1.33488343101901","0.0128958935547282","0.0156","0.50027856","1.37871122730115","tree","Control"
"35","6.4836959343416e-06","0.0278666666666666","0.514277528888893","0.688519779810098","6.4012694550698e-06","0.0276","0.504765760000001","0.681793240925508","lasso","Control"
"36","0.100920388533333","0.999999999999929","1","1.07944263830549","0.0045191536","0.024","0.50667048","0.0596955152622281","rf","Control"
"37","0.0236726674698933","0.405866666666661","0.689981173333334","27.8959399992976","0.0236839725547381","0.395200000000007","0.68522592","27.9199272838256","lr","All"
"38","0.21862414354448","0.92733333333327","0.984516817777778","3.69387202914135","0.21757142834567","0.853199999999971","0.95647952","3.52419591494378","tree","All"
