pmse,synth_type,black_class
4.54192470617944,noblack_bad,noblack
1.3855744634156497,noblack_bad,black
2.982359787628184,noblack_med,noblack
1.4028204091338277,noblack_med,black
23.72402874840174,good,noblack
12.106198099560057,good,black
26.181685650771904,black_med,noblack
1.7391265750644234,black_med,black
39.69129091290146,black_bad,noblack
2.3750400978652797,black_bad,black
4.575800430601263,noblack_bad,noblack
10.038043572959257,noblack_bad,black
2.3776351867353513,noblack_med,noblack
1.4729677643269958,noblack_med,black
29.72521278101229,good,noblack
8.815045603975602,good,black
20.886222774674767,black_med,noblack
2.1447813120446106,black_med,black
43.73396588270737,black_bad,noblack
3.059033120370544,black_bad,black
4.669622768497365,noblack_bad,noblack
11.313476161389598,noblack_bad,black
106.1963255121584,noblack_med,noblack
1.3755485207588374,noblack_med,black
28.87472963339419,good,noblack
1.5546513440063894,good,black
26.00888257092739,black_med,noblack
2.16343450078353,black_med,black
37.83508381892712,black_bad,noblack
3.4938227068330057,black_bad,black
4.679652834619149,noblack_bad,noblack
1.4484294022460962,noblack_bad,black
2.774523299242496,noblack_med,noblack
1.4836492387088516,noblack_med,black
34.70526778395882,good,noblack
1.5268495879876411,good,black
26.874244933752987,black_med,noblack
2.188012193336493,black_med,black
25.525459323773546,black_bad,noblack
2.2261719438353493,black_bad,black
4.6402530960389505,noblack_bad,noblack
1.5526308072696424,noblack_bad,black
2.3745430130365484,noblack_med,noblack
1.2809802994084578,noblack_med,black
30.560323069887787,good,noblack
21.04282896612297,good,black
29.10209915643149,black_med,noblack
2.0697469082199995,black_med,black
32.120347176893176,black_bad,noblack
3.1482639386508553,black_bad,black
4.710053104575257,noblack_bad,noblack
7.813220762118934,noblack_bad,black
2.5042798288024533,noblack_med,noblack
1.6094572660579338,noblack_med,black
19.949764370629982,good,noblack
1.209210154801029,good,black
30.624923322063125,black_med,noblack
2.1542148731805977,black_med,black
21.43505450859971,black_bad,noblack
3.2709940365622856,black_bad,black
4.9854342063996695,noblack_bad,noblack
11.330805748022918,noblack_bad,black
2.4893693292658052,noblack_med,noblack
1.452364677505288,noblack_med,black
25.008016561993056,good,noblack
9.099811376507176,good,black
24.4454494920719,black_med,noblack
2.393216074247968,black_med,black
34.10240191015578,black_bad,noblack
3.106886834319995,black_bad,black
5.226409284182925,noblack_bad,noblack
1.4619803300708405,noblack_bad,black
78.7063170331054,noblack_med,noblack
9.653212488779058,noblack_med,black
31.062107454847773,good,noblack
12.14346102230104,good,black
21.970339255237185,black_med,noblack
1.9776610130041128,black_med,black
30.63714678174873,black_bad,noblack
3.293228098604786,black_bad,black
4.4118900602691795,noblack_bad,noblack
1.3741367334882397,noblack_bad,black
2.5121965479227932,noblack_med,noblack
8.324153458604846,noblack_med,black
25.877822868751558,good,noblack
1.217156457741269,good,black
28.058360285629462,black_med,noblack
1.9689790539205392,black_med,black
28.087977724475362,black_bad,noblack
3.2939915098424146,black_bad,black
4.5699870027974585,noblack_bad,noblack
9.239235623844454,noblack_bad,black
2.328464518234187,noblack_med,noblack
1.556597191594499,noblack_med,black
22.51344003404274,good,noblack
1.3792981394373671,good,black
24.936520114596387,black_med,noblack
2.3091715866224747,black_med,black
30.513314268458377,black_bad,noblack
3.450520482906037,black_bad,black
