"","aucs","speckss","synth_type","pov_class"
"1",0.578585486071443,0.109016841329738,"good","nopov"
"2",0.610915775352333,0.162699497655974,"good","pov"
"3",0.574217931150938,0.0987921248014634,"pov_med","nopov"
"4",0.583732294930062,0.124922781626449,"pov_med","pov"
"5",0.564132193371211,0.0806130919121397,"pov_bad","nopov"
"6",0.660973868091506,0.273331929186668,"pov_bad","pov"
"7",0.629579260530383,0.200157744933314,"nopov_med","nopov"
"8",0.600212368674324,0.159886429343955,"nopov_med","pov"
"9",0.740869324396793,0.372192419951898,"nopov_bad","nopov"
"10",0.602199718235204,0.166404895082139,"nopov_bad","pov"
"11",0.57785598000327,0.106079109160859,"good","nopov"
"12",0.610735930735931,0.15936147186147,"good","pov"
"13",0.567582345713994,0.0904780886511335,"pov_med","nopov"
"14",0.603228641142648,0.167896476507827,"pov_med","pov"
"15",0.571163021817342,0.0918382074415045,"pov_bad","nopov"
"16",0.672258831145452,0.262836490528421,"pov_bad","pov"
"17",0.644003550539902,0.219957832454965,"nopov_med","nopov"
"18",0.613512195934601,0.162389752591621,"nopov_med","pov"
"19",0.74198640534789,0.37905651011925,"nopov_bad","nopov"
"20",0.608855828017012,0.185622674109516,"nopov_bad","pov"
"21",0.574753411295574,0.103633245652441,"good","nopov"
"22",0.595075214684026,0.127407754658476,"good","pov"
"23",0.571749019682239,0.0949555562340726,"pov_med","nopov"
"24",0.604637644323322,0.143390897922874,"pov_med","pov"
"25",0.571839590803391,0.101660847589519,"pov_bad","nopov"
"26",0.635415963899212,0.243091182236189,"pov_bad","pov"
"27",0.63250833078958,0.198609076109065,"nopov_med","nopov"
"28",0.61528309480382,0.19330885403664,"nopov_med","pov"
"29",0.738043113370285,0.368361157867135,"nopov_bad","nopov"
"30",0.589997772747563,0.135714225806122,"nopov_bad","pov"
"31",0.566698340318562,0.0836534727537218,"good","nopov"
"32",0.618478102856061,0.192513658246341,"good","pov"
"33",0.570827544607735,0.0927493332899877,"pov_med","nopov"
"34",0.628423689287377,0.186973811618089,"pov_med","pov"
"35",0.561232031971355,0.0872193519738765,"pov_bad","nopov"
"36",0.602354776973098,0.161222388957759,"pov_bad","pov"
"37",0.64386204302502,0.210201578722461,"nopov_med","nopov"
"38",0.592723805700522,0.150012217897475,"nopov_med","pov"
"39",0.746435881920674,0.379650029745701,"nopov_bad","nopov"
"40",0.57113352919792,0.107810842291912,"nopov_bad","pov"
"41",0.578776427327798,0.102871952424202,"good","nopov"
"42",0.592107985408327,0.130018327422625,"good","pov"
"43",0.562041000220812,0.0918028223246827,"pov_med","nopov"
"44",0.596874780809427,0.160934979308423,"pov_med","pov"
"45",0.570936152303595,0.0906958322176736,"pov_bad","nopov"
"46",0.642940946056853,0.223027493844658,"pov_bad","pov"
"47",0.636379441522918,0.204211442233889,"nopov_med","nopov"
"48",0.5902491051209,0.118290598290598,"nopov_med","pov"
"49",0.739353461392004,0.375581745255448,"nopov_bad","nopov"
"50",0.604741310356371,0.15085289768834,"nopov_bad","pov"
"51",0.584035268746792,0.109460182813979,"good","nopov"
"52",0.580170726174373,0.123395591254201,"good","pov"
"53",0.570802576174131,0.0917367020741916,"pov_med","nopov"
"54",0.590722196283834,0.126328895185656,"pov_med","pov"
"55",0.562972452070182,0.0853622906527944,"pov_bad","nopov"
"56",0.651617494753358,0.205796697846188,"pov_bad","pov"
"57",0.639693121148595,0.217334020795041,"nopov_med","nopov"
"58",0.586909683550035,0.135829372471077,"nopov_med","pov"
"59",0.746451264150287,0.38568429420945,"nopov_bad","nopov"
"60",0.613404438812327,0.169019835612581,"nopov_bad","pov"
"61",0.573938471388668,0.0937918369931371,"good","nopov"
"62",0.595842195817919,0.141663655031173,"good","pov"
"63",0.564135417232896,0.0799647399304035,"pov_med","nopov"
"64",0.538314905749477,0.0799620441480893,"pov_med","pov"
"65",0.563284349497454,0.0786502289787971,"pov_bad","nopov"
"66",0.654072679466443,0.242955105539487,"pov_bad","pov"
"67",0.641079529121365,0.222897050298973,"nopov_med","nopov"
"68",0.590392954294487,0.143583182956721,"nopov_med","pov"
"69",0.746600085215892,0.374803976973241,"nopov_bad","nopov"
"70",0.568673146831042,0.110099573257469,"nopov_bad","pov"
"71",0.56797840362816,0.096055575102494,"good","nopov"
"72",0.569286696491045,0.107712265137883,"good","pov"
"73",0.571466687920866,0.0899734722192001,"pov_med","nopov"
"74",0.575882656113718,0.12020828377628,"pov_med","pov"
"75",0.573173045083083,0.0964489909395587,"pov_bad","nopov"
"76",0.632604495819811,0.195498477095843,"pov_bad","pov"
"77",0.640083994366127,0.199443347639324,"nopov_med","nopov"
"78",0.60038418383376,0.149713208563354,"nopov_med","pov"
"79",0.745222586525504,0.38007950078586,"nopov_bad","nopov"
"80",0.59780626342678,0.145632643301222,"nopov_bad","pov"
"81",0.575459753607858,0.100079034165547,"good","nopov"
"82",0.596604301968041,0.128503176870414,"good","pov"
"83",0.570346113283405,0.0897617183796377,"pov_med","nopov"
"84",0.594370857974447,0.146526940554579,"pov_med","pov"
"85",0.579923256410005,0.104172754424549,"pov_bad","nopov"
"86",0.658297619263806,0.232101803257847,"pov_bad","pov"
"87",0.631327993045604,0.198075455145469,"nopov_med","nopov"
"88",0.627745675377254,0.200883327199119,"nopov_med","pov"
"89",0.739005206090734,0.378591011073052,"nopov_bad","nopov"
"90",0.610141319313164,0.163045106613686,"nopov_bad","pov"
"91",0.581885499272096,0.11277218854977,"good","nopov"
"92",0.598634651600753,0.165910490326349,"good","pov"
"93",0.580331998103896,0.101600183782538,"pov_med","nopov"
"94",0.623220920142546,0.162434392876094,"pov_med","pov"
"95",0.568078534843066,0.0878601436147471,"pov_bad","nopov"
"96",0.630781819242522,0.219814241486059,"pov_bad","pov"
"97",0.631776916328946,0.200310761766841,"nopov_med","nopov"
"98",0.603770028275212,0.146752838741526,"nopov_med","pov"
"99",0.73818271782632,0.373188269480005,"nopov_bad","nopov"
"100",0.633758105477563,0.205664119691265,"nopov_bad","pov"
