"","aucs","speckss","pmses","pmse_ratios","synth_type","black_class"
"1",0.578057618897837,0.120054570259209,0.0371724397089229,1.42667350785633,"good","black"
"2",0.579115393074269,0.112013729977119,0.00768156195631956,28.5260201243693,"good","noblack"
"3",0.653105684277922,0.219645293315144,0.0492122709282044,1.83384011120928,"BLACK_med","black"
"4",0.574314522252303,0.110183066361558,0.00894210840991268,29.0324500093095,"BLACK_med","noblack"
"5",0.769831505949312,0.447476125511594,0.0888644894455593,3.38221512403942,"BLACK_bad","black"
"6",0.581481817729579,0.109725400457668,0.0091095148640552,28.530666610031,"BLACK_bad","noblack"
"7",0.611371161516428,0.181446111869032,0.0407970130970746,1.50703578269744,"noBLACK_med","black"
"8",0.656849868303233,0.236270022883303,0.0438188552797853,2.86482764749385,"noBLACK_med","noblack"
"9",0.568212824010914,0.136425648021828,0.00754202580592913,8.89625169391576,"noBLACK_bad","black"
"10",0.790121276228079,0.453203661327249,0.0776289576688976,4.79712163000551,"noBLACK_bad","noblack"
"11",0.577099103089771,0.121418826739427,0.0412042290644859,1.54907025784771,"good","black"
"12",0.584691710434678,0.11430205949657,0.00933310724473687,25.3653620543195,"good","noblack"
"13",0.677982426589787,0.255115961800819,0.0587288939363417,2.24923972928907,"BLACK_med","black"
"14",0.56994189501961,0.0969107551487427,0.00879727895350013,25.5197238921444,"BLACK_med","noblack"
"15",0.802483393480976,0.472032742155523,0.0902893308685175,3.43439068815255,"BLACK_bad","black"
"16",0.578060516366531,0.103203661327233,0.00870093810687152,34.3002044066602,"BLACK_bad","noblack"
"17",0.606170050010329,0.177353342428377,0.0409977645834557,1.58049350043477,"noBLACK_med","black"
"18",0.660914840890406,0.234668192219687,0.0246434203604293,69.9312396684865,"noBLACK_med","noblack"
"19",0.570259208731241,0.140518417462483,0.00721522488004077,9.71744631228559,"noBLACK_bad","black"
"20",0.791523166063602,0.453432494279194,0.080435835343307,5.04730795603101,"noBLACK_bad","noblack"
"21",0.587727461384841,0.130968622100955,0.0669556724605879,1.39795055852802,"good","black"
"22",0.583442083531882,0.107894736842107,0.00905738772450892,32.5870052846209,"good","noblack"
"23",0.67293300253681,0.245566166439291,0.0586908855358036,2.30849613917509,"BLACK_med","black"
"24",0.57520388780378,0.105606407322656,0.00787215617706893,25.6412968018777,"BLACK_med","noblack"
"25",0.775130330231961,0.401091405184173,0.0885477195048243,3.33966932960788,"BLACK_bad","black"
"26",0.585335447114453,0.118192219679636,0.00966438560630795,35.6368512034999,"BLACK_bad","noblack"
"27",0.548431105047749,0.0968622100954978,0.00883522232464406,Inf,"noBLACK_med","black"
"28",0.661112333677193,0.243363844393601,0.0413725076899087,2.5611085247187,"noBLACK_med","noblack"
"29",0.595468174483378,0.155525238744884,0.034886337410599,1.31021882997834,"noBLACK_bad","black"
"30",0.795895020919625,0.456064073226562,0.0812121680520725,5.41898765738978,"noBLACK_bad","noblack"
"31",0.591279553461917,0.155525238744884,0.0335205245010501,1.2948735501776,"good","black"
"32",0.565355456906618,0.0911899313501155,0.00852403283346237,26.9679165816161,"good","noblack"
"33",0.663929468126092,0.226466575716235,0.0641659549708532,2.40422552750867,"BLACK_med","black"
"34",0.577705452193812,0.107093821510299,0.00943652386362224,31.9342336640485,"BLACK_med","noblack"
"35",0.782198221069108,0.42701227830832,0.11751880945224,2.46145703038914,"BLACK_bad","black"
"36",0.575386149060842,0.105148741418766,0.00852966599673386,34.3777925070932,"BLACK_bad","noblack"
"37",0.586036565051583,0.141882673942701,0.0429306513054411,1.6593038961772,"noBLACK_med","black"
"38",0.667855417633228,0.252059496567514,0.0429519077883126,2.72908182557593,"noBLACK_med","noblack"
"39",0.600644159846935,0.150068212824011,0.0351507709572265,1.42936061671853,"noBLACK_bad","black"
"40",0.793833272677765,0.460411899313519,0.0801656605444285,5.19667749531565,"noBLACK_bad","noblack"
"41",0.572149253009088,0.144611186903138,0.00787673589913975,10.0711731713738,"good","black"
"42",0.571521339850971,0.0996567505720838,0.00921927051696117,29.7063132914626,"good","noblack"
"43",0.658011796258625,0.241473396998636,0.0494122771473098,1.92202182385113,"BLACK_med","black"
"44",0.575441864910012,0.106636155606409,0.00891224042587246,34.6695826506074,"BLACK_med","noblack"
"45",0.764037603598808,0.396998635743518,0.105810317513128,2.23796202506459,"BLACK_bad","black"
"46",0.570629120433159,0.0995423340961112,0.00927489206526555,33.7623053065989,"BLACK_bad","noblack"
"47",0.575691108509573,0.144611186903138,0.0406142110023241,1.55842787171287,"noBLACK_med","black"
"48",0.644996786127591,0.218306636155613,0.0240000563749455,83.1587546502597,"noBLACK_med","noblack"
"49",0.557298772169168,0.114597544338335,0.00665990394155217,9.22029592241495,"noBLACK_bad","black"
"50",0.789283908644858,0.452288329519468,0.0811678094064894,5.11291902568822,"noBLACK_bad","noblack"
"51",0.614449579276702,0.181446111869032,0.0362530067332531,1.40798531338781,"good","black"
"52",0.573492196377422,0.0951945080091545,0.00942780352612925,27.1768383862614,"good","noblack"
